unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount
1613174400000,2021-02-13 00:00:00,BTC/USDT,47364.00,48290.00,46252.10,47221.62,199965.397,9438075938.38798,2253613
1613088000000,2021-02-12 00:00:00,BTC/USDT,48060.21,49278.98,46121.00,47361.03,259186.288,12341281000.02568,2862051
1613001600000,2021-02-11 00:00:00,BTC/USDT,44850.00,48810.00,44038.97,48060.21,330540.045,15468624715.76271,3326357
1612915200000,2021-02-10 00:00:00,BTC/USDT,46492.53,47475.00,43770.00,44850.00,334979.017,15286260787.69888,3259151
1612828800000,2021-02-09 00:00:00,BTC/USDT,46451.32,48266.36,45057.65,46492.54,381477.426,17820342806.81088,3957333
1612742400000,2021-02-08 00:00:00,BTC/USDT,38849.24,47146.00,38037.00,46451.32,440167.093,18769855154.62719,4374347
1612656000000,2021-02-07 00:00:00,BTC/USDT,39249.53,39757.87,37403.27,38849.25,296721.925,11466152232.53475,2896234
1612569600000,2021-02-06 00:00:00,BTC/USDT,38357.17,40992.40,38269.00,39249.54,310826.315,12369698321.04784,3050313
1612483200000,2021-02-05 00:00:00,BTC/USDT,36975.19,38411.82,36586.68,38362.65,196277.444,7395595524.77548,2144343
1612396800000,2021-02-04 00:00:00,BTC/USDT,37651.92,38833.00,36233.00,36976.93,306715.022,11507154016.35826,2825262
1612310400000,2021-02-03 00:00:00,BTC/USDT,35504.07,37700.00,35410.00,37652.51,240308.078,8788925454.96376,2331826
1612224000000,2021-02-02 00:00:00,BTC/USDT,33546.08,36041.00,33450.00,35504.06,239856.230,8364687573.37923,2345193
1612137600000,2021-02-01 00:00:00,BTC/USDT,33125.11,34720.00,32322.47,33546.09,240632.325,8121385637.13714,2421173
1612051200000,2021-01-31 00:00:00,BTC/USDT,34284.76,34393.22,32193.04,33126.21,211293.891,7052326918.52193,2233259
1611964800000,2021-01-30 00:00:00,BTC/USDT,34267.04,34988.88,32849.06,34289.85,267861.872,9109013883.23461,2754794
1611878400000,2021-01-29 00:00:00,BTC/USDT,33399.99,38641.10,31960.00,34269.35,713579.785,25293550971.74301,5920737
1611792000000,2021-01-28 00:00:00,BTC/USDT,30382.96,33778.95,29843.33,33399.75,311528.373,9909261735.25709,2824829
1611705600000,2021-01-27 00:00:00,BTC/USDT,32474.81,32562.20,29240.00,30381.04,431022.839,13269633440.99824,3665833
1611619200000,2021-01-26 00:00:00,BTC/USDT,32253.68,32950.00,30810.00,32474.14,346861.707,11060562208.15130,3088089
1611532800000,2021-01-25 00:00:00,BTC/USDT,32274.88,34880.00,31921.47,32253.68,316687.524,10588161978.70822,2871028
1611446400000,2021-01-24 00:00:00,BTC/USDT,32086.48,33125.75,30914.20,32275.63,212107.044,6824806447.15319,2205550
1611360000000,2021-01-23 00:00:00,BTC/USDT,32990.08,33495.00,31405.00,32086.48,256776.411,8300485557.20308,2533905
1611273600000,2021-01-22 00:00:00,BTC/USDT,30875.77,33831.52,28880.00,32986.34,453568.538,14265924156.72767,4072699
1611187200000,2021-01-21 00:00:00,BTC/USDT,35499.23,35636.17,30069.90,30879.97,550562.277,17863845664.01804,4767974
1611100800000,2021-01-20 00:00:00,BTC/USDT,35891.74,36461.44,33403.00,35500.00,329192.419,11521126165.52288,3069181
1611014400000,2021-01-19 00:00:00,BTC/USDT,36690.00,37961.00,35850.00,35891.03,257889.419,9530202433.37249,2463060
1610928000000,2021-01-18 00:00:00,BTC/USDT,35875.72,37547.94,34808.47,36686.86,253386.703,9167208119.70183,2509593
1610841600000,2021-01-17 00:00:00,BTC/USDT,36025.65,36898.00,33863.50,35869.83,287686.129,10206002445.01776,2832554
1610755200000,2021-01-16 00:00:00,BTC/USDT,36755.25,38000.00,35366.00,36025.66,301102.477,11103654689.80840,3011057
1610668800000,2021-01-15 00:00:00,BTC/USDT,39163.31,39790.00,34478.00,36755.24,437610.113,16148530126.35195,4212641
1610582400000,2021-01-14 00:00:00,BTC/USDT,37416.34,40189.39,36764.33,39163.31,353142.386,13663753723.40309,3501513
